link_text,href,link_type,section_title
¶,#beautiful-soup-documentation,internal_anchor,Beautiful Soup Documentation
Beautiful Soup,http://www.crummy.com/software/BeautifulSoup/,documentation_link,Beautiful Soup Documentation
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Beautiful Soup Documentation
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Beautiful Soup Documentation
这篇文档当然还有中文版.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,documentation_link,Beautiful Soup Documentation
外部リンク,http://kondou.com/BS4/,external_link,Beautiful Soup Documentation
이 문서는 한국어 번역도 가능합니다.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,documentation_link,Beautiful Soup Documentation
Este documento também está disponível em Português do Brasil.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,documentation_link,Beautiful Soup Documentation
Este documento también está disponible en una traducción al español.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,documentation_link,Beautiful Soup Documentation
Эта документация доступна на русском языке.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,documentation_link,Beautiful Soup Documentation
¶,#getting-help,internal_anchor,Getting help
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,external_link,Getting help
what the diagnose() function says,#diagnose,internal_anchor,Getting help
¶,#api-documentation,internal_anchor,API documentation
traditional API documentation,api/modules.html,documentation_link,API documentation
¶,#quick-start,internal_anchor,Quick Start
¶,#installing-beautiful-soup,internal_anchor,Installing Beautiful Soup
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Installing Beautiful Soup
download the Beautiful Soup 4 source tarball,http://www.crummy.com/software/BeautifulSoup/download/4.x/,documentation_link,Installing Beautiful Soup
¶,#installing-a-parser,internal_anchor,Installing a parser
lxml parser,http://lxml.de/,external_link,Installing a parser
html5lib parser,http://code.google.com/p/html5lib/,external_link,Installing a parser
"Differences
between parsers",#differences-between-parsers,internal_anchor,Installing a parser
¶,#making-the-soup,internal_anchor,Making the soup
Parsing XML,#id15,internal_anchor,Making the soup
¶,#kinds-of-objects,internal_anchor,Kinds of objects
Tag,#Tag,internal_anchor,Kinds of objects
NavigableString,#NavigableString,internal_anchor,Kinds of objects
Comment,#Comment,internal_anchor,Kinds of objects
¶,#Tag,internal_anchor,Kinds of objects
Tag,#Tag,internal_anchor,Kinds of objects
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects
¶,#Tag.name,internal_anchor,Kinds of objects
¶,#Tag.attrs,internal_anchor,Kinds of objects
¶,#multi-valued-attributes,internal_anchor,Multi-valued attributes
¶,#NavigableString,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
"Navigating
the tree",#navigating-the-tree,internal_anchor,Multi-valued attributes
